,브랜드,매장,매장주소,구,도로명,위도,경도
528,EDIYA,혜화동로터리점,서울 종로구 혜화로 3-1 (혜화동),종로구,혜화로,37.5860305,127.0005638
529,EDIYA,혜화역점,서울 종로구 창경궁로 258-15 (명륜2가),종로구,창경궁로,37.5846573,127.0002379
530,EDIYA,IBK본점,"서울 중구 을지로 79 (을지로2가, 기업은행)",중구,을지로,37.56566979999999,126.9894519
531,EDIYA,YTN점,서울 중구 세종대로1길 11 (봉래동1가),중구,세종대로1길,37.5597113,126.9746181
532,EDIYA,광희동점,서울 중구 마른내로 165-1 (광희동1가),중구,마른내로,37.564787,127.006136
533,EDIYA,다동점,서울 중구 다동길 46 (다동),중구,다동길,37.56782159999999,126.9817119
534,EDIYA,동국대후문점,"서울 중구 창경궁로 2 (충무로5가, 남경빌딩)",중구,창경궁로,37.5624822,126.9986871
535,EDIYA,동대문점,서울 중구 을지로43길 38 (을지로6가),중구,을지로43길,37.5676676,127.0077516
536,EDIYA,동평화점,서울 중구 청계천로 318 (신당동),중구,청계천로,37.5694218,127.0132185
537,EDIYA,만리동고개점,"서울 중구 만리재로 175 (만리동2가, 서울역센트럴자이),402동 102호",중구,만리재로,37.554538,126.9636814
538,EDIYA,명동역점,서울 중구 퇴계로 103 (충무로1가),중구,퇴계로,37.5609432,126.9825464
539,EDIYA,명동중앙점,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)",중구,명동7길,37.5646918,126.9838429
540,EDIYA,서소문점,서울 중구 서소문로11길 8 (서소문동),중구,서소문로11길,37.5632228,126.973086
541,EDIYA,서울시청점,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)",중구,세종대로20길,37.56702689999999,126.9788962
542,EDIYA,신당점,서울 중구 다산로35길 11 (신당동),중구,다산로35길,37.56351799999999,127.0148075
543,EDIYA,신당중앙점,서울 중구 퇴계로 455 (황학동),중구,퇴계로,37.56744380000001,127.0198915
544,EDIYA,약수역점,서울 중구 동호로 186-13 (신당동),중구,동호로,37.5545654,127.0114859
545,EDIYA,오장동점,서울 중구 마른내로 109-1 (오장동),중구,마른내로,37.5645748,127.0001136
546,EDIYA,을지로3가점,서울 중구 수표로 45 (저동2가),중구,수표로,37.5634861,126.9902353
547,EDIYA,정동점,서울 중구 정동길 2-1 (정동),중구,정동길,37.5679414,126.9693423
548,EDIYA,중림점,서울 중구 청파로 464 (중림동),중구,청파로,37.5607773,126.9682129
549,EDIYA,청구역점,서울 중구 다산로 181-2 (신당동),중구,다산로,37.5597511,127.0132283
550,EDIYA,충무로3가점,서울 중구 퇴계로27길 31 (충무로3가),중구,퇴계로27길,37.56252509999999,126.9912341
551,EDIYA,충무로점,서울 중구 퇴계로 188 (필동1가),중구,퇴계로,37.5609015,126.9924937
552,EDIYA,충무아트홀점,서울 중구 퇴계로 381-1 (신당동),중구,퇴계로,37.5652402,127.0139856
553,EDIYA,충무필동점,서울 중구 퇴계로 218-5 (필동2가),중구,퇴계로,37.561541,126.9936459
554,EDIYA,태평로점,서울 중구 세종대로11길 26 (서소문동),중구,세종대로11길,37.5621115,126.9740103
555,EDIYA,퇴계로2길점,서울 중구 퇴계로2길 1 (남창동),중구,퇴계로2길,37.5575233,126.9773972
556,EDIYA,한국은행점,서울 중구 남대문로 29-2 (남대문로3가),중구,남대문로,37.5619687,126.9803334
557,EDIYA,황학롯데캐슬점,"서울 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",중구,청계천로,37.571596,127.022479
558,EDIYA,회현SK리더스점,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)",중구,퇴계로,37.5592302,126.9806639
559,EDIYA,강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구,고덕로,37.55737130000001,127.1725399
560,EDIYA,강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구,성내로6길,37.5288753,127.1222899
561,EDIYA,강동성내점,서울 강동구 풍성로 162 (성내동),강동구,풍성로,37.5304839,127.1298465
562,EDIYA,강동신명초교점,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",강동구,명일로,37.540617,127.149247
563,EDIYA,강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구,천호대로,37.5369841,127.1304589
564,EDIYA,강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워)",강동구,아리수로93길,37.5665592,127.1737804
565,EDIYA,고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동),강동구,동남로82길,37.5603577,127.1636874
566,EDIYA,고덕래미안힐스점,"서울 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",강동구,아리수로50길,37.5602282,127.1493354
567,EDIYA,고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구,동남로75길,37.5540951,127.1551471
568,EDIYA,길동사거리점,서울 강동구 천호대로 1132 (성내동),강동구,천호대로,37.5302922,127.1287651
569,EDIYA,길동역점,서울 강동구 양재대로 1471 (길동),강동구,양재대로,37.5372792,127.1393753
570,EDIYA,길동중앙점,서울 강동구 명일로 200 (길동),강동구,명일로,37.5365076,127.1459209
571,EDIYA,둔촌점,서울 강동구 양재대로 1377 (성내동),강동구,양재대로,37.5302922,127.1287651
572,EDIYA,명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구,구천면로,37.5503207,127.145546
573,EDIYA,명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구,상암로,37.5484567,127.1487867
574,EDIYA,보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구,명일로,37.5287091,127.1431767
575,EDIYA,상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구,상일로,37.5525612,127.1752562
576,EDIYA,암사3동점,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)",강동구,고덕로,37.5534915,127.1390945
577,EDIYA,암사역점,"서울 강동구 올림픽로 782 (암사동, 501타워)",강동구,올림픽로,37.5508357,127.1281014
578,EDIYA,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구,암사길,37.5516267,127.1348226
579,EDIYA,올림픽북문점,서울 강동구 성안로 7 (성내동),강동구,성안로,37.5244902,127.1288855
580,EDIYA,천호로데오점,서울 강동구 천호대로 1027 (천호동),강동구,천호대로,37.5381679,127.1262834
581,EDIYA,천호역점,서울 강동구 천호대로 1006 (성내동),강동구,천호대로,37.5302922,127.1287651
582,EDIYA,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구,올림픽로,37.540115,127.1245713
583,EDIYA,천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구,구천면로,37.5467345,127.1347881
584,EDIYA,천호현대점,서울 강동구 올림픽로 665 (천호동),강동구,올림픽로,37.5408846,127.1238516
585,EDIYA,개봉북부점,서울 구로구 경인로40길 12 (개봉동),구로구,경인로40길,37.495564,126.8590429
586,EDIYA,개봉역점,서울 구로구 남부순환로97길 11 (개봉동),구로구,남부순환로97길,37.4941792,126.8583787
587,EDIYA,개봉중앙점,서울 구로구 개봉로3길 26 (개봉동),구로구,개봉로3길,37.48641,126.8548809
588,EDIYA,개봉현대점,서울 구로구 개봉로 69 (개봉동),구로구,개봉로,37.4918637,126.8555982
589,EDIYA,고대구로병원점,서울 구로구 구로동로 157 (구로동),구로구,구로동로,37.492533,126.8833543
590,EDIYA,고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구,고척로,37.5057472,126.8582376
591,EDIYA,고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구,경인로,37.49777660000001,126.8637523
592,EDIYA,구로NC점,서울 구로구 구로동로 240 (구로동),구로구,구로동로,37.4999675,126.8826973
593,EDIYA,구로거리공원점,서울 구로구 구로중앙로28길 73 (구로동),구로구,구로중앙로28길,37.5007554,126.8893254
594,EDIYA,구로고척점,"서울 구로구 고척로 149 (고척동, 상암빌딩)",구로구,고척로,37.50308649999999,126.850169
595,EDIYA,구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구,가마산로25길,37.49658830000001,126.8903054
596,EDIYA,구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,구로구,오리로,37.4977401,126.829378
597,EDIYA,구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구,구로중앙로,37.5061286,126.8765952
598,EDIYA,구로에이스점,서울 구로구 디지털로33길 11 (구로동),구로구,디지털로33길,37.4856641,126.8955021
599,EDIYA,구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구,경인로,37.4979668,126.8843669
600,EDIYA,구로이마트점,서울 구로구 디지털로32길 43 (구로동),구로구,디지털로32길,37.4843537,126.89788
601,EDIYA,구로중앙점,서울 구로구 도림로 79 (구로동),구로구,도림로,37.4900511,126.8920236
602,EDIYA,구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구,구로중앙로,37.5023699,126.8814842
603,EDIYA,구로항동지구점,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",구로구,항동로3길,37.486525,126.8252088
604,EDIYA,구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구,구일로,37.4950273,126.872004
605,EDIYA,남구로역점,서울 구로구 디지털로27길 127 (가리봉동),구로구,디지털로27길,37.4846716,126.8870975
606,EDIYA,동양미래대학점,서울 구로구 경인로47길 14 (고척동),구로구,경인로47길,37.500202,126.8670179
607,EDIYA,메르디앙고척점,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)",구로구,중앙로8길,37.5028461,126.8632325
608,EDIYA,성공회대점,서울 구로구 연동로 312 (항동),구로구,연동로,37.4872294,126.8242853
609,EDIYA,신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구,신도림로,37.5095401,126.8820361
610,EDIYA,신도림테크노마트점,서울 구로구 새말로 97 (구로동),구로구,새말로,37.5070431,126.8902185
611,EDIYA,오류남부점,서울 구로구 오류로8길 65 (오류동),구로구,오류로8길,37.4926091,126.8437777
612,EDIYA,오류북부역점,서울 구로구 경인로20길 6 (오류동),구로구,경인로20길,37.4966004,126.838513
613,EDIYA,천왕이펜하우스점,서울 구로구 천왕로 36 (천왕동),구로구,천왕로,37.4816349,126.8418958
614,EDIYA,경희대점,서울 동대문구 경희대로 4 (회기동),동대문구,경희대로,37.591867,127.0525122
615,EDIYA,경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",동대문구,경희대로,37.5948937,127.0491562
616,EDIYA,답십리사거리점,서울 동대문구 답십리로 145 (답십리동),동대문구,답십리로,37.5706766,127.0531067
617,EDIYA,답십리역점,서울 동대문구 천호대로 265 (답십리동),동대문구,천호대로,37.56902609999999,127.0573024
618,EDIYA,답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",동대문구,한천로,37.5667907,127.0618324
619,EDIYA,동대문구청점,서울 동대문구 천호대로 153-1 (용두동),동대문구,천호대로,37.5795817,127.0299297
620,EDIYA,동부병원사거리점,서울 동대문구 무학로 104 (용두동),동대문구,무학로,37.5735046,127.0309651
621,EDIYA,배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동),동대문구,답십리로63길,37.5784698,127.069321
622,EDIYA,서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",동대문구,서울시립대로,37.583249,127.0548191
623,EDIYA,신설동역점,서울 동대문구 천호대로 11-3 (신설동),동대문구,천호대로,37.5780881,127.027344
624,EDIYA,외대점,서울 동대문구 휘경로 12 (이문동),동대문구,휘경로,37.59582040000001,127.0612654
625,EDIYA,용두동사거리점,서울 동대문구 왕산로 68 (용두동),동대문구,왕산로,37.5757009,127.034989
626,EDIYA,용두동점,서울 동대문구 고산자로 413-1 (용두동),동대문구,고산자로,37.5766232,127.0379189
627,EDIYA,이문점 ,서울 동대문구 신이문로 19 (이문동),동대문구,신이문로,37.6031045,127.064235
628,EDIYA,장안동사거리점,서울 동대문구 답십리로 309 (장안동),동대문구,답십리로,37.572295,127.0748317
629,EDIYA,장안동점,서울 동대문구 장한로 43 (장안동),동대문구,장한로,37.5650632,127.0666931
630,EDIYA,장안중랑천점,서울 동대문구 장한로18길 32 (장안동),동대문구,장한로18길,37.5674947,127.0707583
631,EDIYA,장안중앙점,서울 동대문구 사가정로25길 42 (장안동),동대문구,사가정로25길,37.5806425,127.0709617
632,EDIYA,장한평군자초교점,서울 동대문구 한천로2길 53 (장안동),동대문구,한천로2길,37.5627974,127.0613958
633,EDIYA,전농뉴타운점,서울 동대문구 답십리로 77 (전농동),동대문구,답십리로,37.5750329,127.0496055
634,EDIYA,전농사거리점,서울 동대문구 사가정로 132 (전농동),동대문구,사가정로,37.5775568,127.0595101
635,EDIYA,청량리점,서울 동대문구 왕산로 225 (청량리동),동대문구,왕산로,37.5832353,127.0447165
636,EDIYA,촬영소사거리점,서울 동대문구 답십리로 264 (장안동),동대문구,답십리로,37.5722268,127.0694723
637,EDIYA,회기역점,"서울 동대문구 망우로 67 (휘경동, 효자 워너빌)",동대문구,망우로,37.5899254,127.0606026
638,EDIYA,회기역중앙점,서울 동대문구 회기로 194-1 (휘경동),동대문구,회기로,37.5897957,127.0574889
639,EDIYA,논골사거리점,서울 성동구 난계로 35 (금호동1가),성동구,난계로,37.5554834,127.0244633
640,EDIYA,답십리로데오점,서울 성동구 용답19길 17-1 (용답동),성동구,용답19길,37.5637339,127.052529
641,EDIYA,뚝섬역점,서울 성동구 상원길 38-1 (성수동1가),성동구,상원길,37.5473256,127.048794
642,EDIYA,마장동점,서울 성동구 고산자로 339-2 (마장동),성동구,고산자로,37.5699814,127.0373421
643,EDIYA,마장역점,서울 성동구 마장로 293-1 (마장동),성동구,마장로,37.5659109,127.0421543
644,EDIYA,상왕십리역점,서울 성동구 무학봉15길 27 (하왕십리동),성동구,무학봉15길,37.5636352,127.0301592
645,EDIYA,서울숲역점,서울 성동구 왕십리로 96-1 (성수동1가),성동구,왕십리로,37.5391701,127.0474244
646,EDIYA,성동구청점,서울 성동구 고산자로 269 (도선동),성동구,고산자로,37.5632818,127.0328803
647,EDIYA,성수아카데미점,서울 성동구 성수이로 118 (성수동2가),성동구,성수이로,37.5451437,127.0578284
648,EDIYA,성수우리W타워점,서울 성동구 아차산로15길 19 (성수동2가),성동구,아차산로15길,37.5447256,127.0621362
649,EDIYA,성수중앙점,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)",성동구,성수일로6길,37.5442438,127.0552721
650,EDIYA,신금호역점,서울 성동구 금호산길 64 (금호동2가),성동구,금호산길,37.5538555,127.0196077
651,EDIYA,옥수동점,서울 성동구 매봉길 12 (옥수동),성동구,매봉길,37.5452467,127.0156749
652,EDIYA,옥수역점,서울 성동구 한림말5길 9 (옥수동),성동구,한림말5길,37.5419719,127.0167024
653,EDIYA,왕십리비트플렉스점,서울 성동구 왕십리광장로 17 (행당동),성동구,왕십리광장로,37.5621482,127.0379421
654,EDIYA,왕십리센트라스점,서울 성동구 무학로 22 (홍익동),성동구,무학로,37.5660457,127.0302943
655,EDIYA,왕십리역점,서울 성동구 왕십리로 309 (행당동),성동구,왕십리로,37.5594078,127.0330515
656,EDIYA,응봉동점,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)",성동구,독서당로,37.5509821,127.0309093
657,EDIYA,장한평역점,서울 성동구 천호대로 426 (용답동),성동구,천호대로,37.560746,127.0662025
658,EDIYA,텐즈힐점,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)",성동구,무학로,37.5664459,127.030702
659,EDIYA,한양대점,서울 성동구 사근동길 4 (행당동),성동구,사근동길,37.5598989,127.0415624
660,EDIYA,행당동점,서울 성동구 고산자로 201 (행당동),성동구,고산자로,37.5580159,127.0337407
661,EDIYA,IBK고객센터점,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",용산구,한남대로,37.5350224,127.0070392
662,EDIYA,동부이촌동점,서울 용산구 이촌로77길 19 (이촌동),용산구,이촌로77길,37.52040119999999,126.974878
663,EDIYA,동자동점,서울 용산구 후암로 93 (동자동),용산구,후암로,37.5533136,126.975103
664,EDIYA,삼각지점,서울 용산구 한강대로 138 (한강로2가),용산구,한강대로,37.5304542,126.9695065
665,EDIYA,숙대입구역점,서울 용산구 한강대로 289 (갈월동),용산구,한강대로,37.5440208,126.9719508
666,EDIYA,순천향병원점,서울 용산구 대사관로 72 ,용산구,대사관로,37.5330587,127.0059327
667,EDIYA,용문점,서울 용산구 원효로41길 73 (원효로2가),용산구,원효로41길,37.5363006,126.9624595
668,EDIYA,용산원효점,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",용산구,원효로,37.5342316,126.9526308
669,EDIYA,용산중앙점,서울 용산구 한강대로 52-1 (한강로3가),용산구,한강대로,37.5255891,126.9648264
670,EDIYA,용산청파점,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",용산구,청파로71길,37.5500127,126.9676031
671,EDIYA,용산효창점,서울 용산구 효창원로66길 2 (효창동),용산구,효창원로66길,37.5410418,126.9634863
672,EDIYA,용산후암점,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)",용산구,후암로,37.5494813,126.9776645
673,EDIYA,원효로점,서울 용산구 원효로 257 (원효로1가),용산구,원효로,37.5399325,126.9674607
674,EDIYA,이태원역점,서울 용산구 이태원로 176 (이태원동),용산구,이태원로,37.5344441,126.990696
675,EDIYA,금란망우점,서울 중랑구 망우로 460 (망우동),중랑구,망우로,37.6000681,127.1031213
676,EDIYA,동원사거리점,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)",중랑구,겸재로,37.5895476,127.0939218
677,EDIYA,망우동점,서울 중랑구 망우로 416 (망우동),중랑구,망우로,37.5991279,127.0983355
678,EDIYA,망우중앙점,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",중랑구,용마산로115길,37.5976442,127.0943462
679,EDIYA,먹골역점,서울 중랑구 동일로157길 13 (묵동),중랑구,동일로157길,37.6097015,127.0768818
680,EDIYA,면목경남아너스빌점,서울 중랑구 면목로27길 92 (면목동),중랑구,면목로27길,37.5742279,127.0805033
681,EDIYA,면목본동점,서울 중랑구 면목로 370 (면목동),중랑구,면목로,37.5849094,127.0885874
682,EDIYA,묵동자이점,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)",중랑구,동일로,37.613816,127.077513
683,EDIYA,봉화산역점,서울 중랑구 신내로 211 (신내동),중랑구,신내로,37.6163947,127.0926039
684,EDIYA,사가정아이파크점,"서울 중랑구 동일로92길 57 (면목동, 메디포레)",중랑구,동일로92길,37.5834599,127.0831625
685,EDIYA,사가정역점,서울 중랑구 면목로 325 (면목동),중랑구,면목로,37.5810983,127.0881584
686,EDIYA,상봉엠코점,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)",중랑구,망우로,37.598081,127.0905951
687,EDIYA,상봉역점,서울 중랑구 망우로 277 (상봉동),중랑구,망우로,37.5960169,127.0834048
688,EDIYA,상봉중앙점,서울 중랑구 망우로 316 (상봉동),중랑구,망우로,37.5964462,127.0875204
689,EDIYA,서울상봉1동점,서울 중랑구 상봉중앙로 36 (상봉동),중랑구,상봉중앙로,37.6002506,127.0877831
690,EDIYA,서울의료원점,"서울 중랑구 신내로 156 (신내동, 서울의료원)",중랑구,신내로,37.612781,127.0981787
691,EDIYA,서울중랑경찰서점,서울 중랑구 신내역로3길 40-11 (신내동),중랑구,신내역로3길,37.6126681,127.1032127
692,EDIYA,서울중화초등학교점,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)",중랑구,신내로7가길,37.602308,127.0954454
693,EDIYA,서일중앙점,"서울 중랑구 용마산로 394 (면목동, 해동검도)",중랑구,용마산로,37.5866117,127.0955358
694,EDIYA,신내동점,서울 중랑구 봉화산로 215 (신내동),중랑구,봉화산로,37.6076181,127.0965284
695,EDIYA,양원남부점,서울 중랑구 양원역로 25-10 (망우동),중랑구,양원역로,37.6030497,127.107406
696,EDIYA,양원역점,서울 중랑구 양원역로14가길 24 (망우동),중랑구,양원역로14가길,37.6016933,127.1083226
697,EDIYA,용마산역점,서울 중랑구 면목로 254-1 (면목동),중랑구,면목로,37.5753971,127.0856773
698,EDIYA,우림시장점,서울 중랑구 봉우재로 240 (망우동),중랑구,봉우재로,37.595272,127.0993536
699,EDIYA,중랑교차로점,서울 중랑구 동일로 683 (면목동),중랑구,동일로,37.5913966,127.0798414
700,EDIYA,중랑역점,서울 중랑구 망우로 198 (상봉동),중랑구,망우로,37.593212,127.0748661
701,EDIYA,중화동점,서울 중랑구 동일로129길 1 (중화동),중랑구,동일로129길,37.5992928,127.0783484
702,EDIYA,중화역점,"서울 중랑구 동일로 815, 1층",중랑구,동일로,37.6030917,127.0788763
703,EDIYA,화랑대역점,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)",중랑구,신내로25가길,37.6194506,127.0841605
